#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 03 12 00 999 99.0 99.0  0.66 13.33  6.00 222 9999.0   9.5  11.8 999.0 99.0 99.00
2022 01 03 12 30 999 99.0 99.0  0.63 13.33  5.56 219 9999.0   9.1  11.8 999.0 99.0 99.00
2022 01 03 13 00 999 99.0 99.0  0.62 14.29  5.44 217 9999.0   9.1  11.8 999.0 99.0 99.00
2022 01 03 13 30 999 99.0 99.0  0.66 13.33  6.04 235 9999.0   9.3  11.7 999.0 99.0 99.00
2022 01 03 14 00 999 99.0 99.0  0.61 14.29  5.12 221 9999.0   9.2  11.7 999.0 99.0 99.00
2022 01 03 14 30 999 99.0 99.0  0.68 13.33  5.52 236 9999.0   8.9  11.7 999.0 99.0 99.00
2022 01 03 15 00 999 99.0 99.0  0.75 13.33  5.63 230 9999.0   8.7  11.8 999.0 99.0 99.00
2022 01 03 15 30 999 99.0 99.0  0.73 13.33  5.32 224 9999.0   8.6  11.8 999.0 99.0 99.00
2022 01 03 16 00 999 99.0 99.0  0.76 13.33  5.56 234 9999.0   8.8  11.9 999.0 99.0 99.00
2022 01 03 16 30 999 99.0 99.0  0.82 13.33  5.75 227 9999.0   8.7  11.9 999.0 99.0 99.00
2022 01 03 17 00 999 99.0 99.0  0.78 14.29  5.10 224 9999.0   8.7  11.9 999.0 99.0 99.00
2022 01 03 17 30 999 99.0 99.0  0.75 13.33  4.96 224 9999.0   8.6  11.9 999.0 99.0 99.00
2022 01 03 18 00 999 99.0 99.0  0.76 16.67  5.34 230 9999.0   8.9  11.9 999.0 99.0 99.00
2022 01 03 18 30 999 99.0 99.0  0.77 14.29  5.06 217 9999.0   9.1  11.9 999.0 99.0 99.00
2022 01 03 19 00 999 99.0 99.0  0.73 13.33  4.96 231 9999.0   9.3  11.9 999.0 99.0 99.00
2022 01 03 19 30 999 99.0 99.0  0.80 16.67  5.55 225 9999.0   9.7  12.0 999.0 99.0 99.00
2022 01 03 20 00 999 99.0 99.0  0.74 14.29  5.02 230 9999.0  10.1  12.0 999.0 99.0 99.00
2022 01 03 20 30 999 99.0 99.0  0.74 15.38  5.36 221 9999.0  10.2  12.1 999.0 99.0 99.00
2022 01 03 21 00 999 99.0 99.0  0.74 15.38  5.84 230 9999.0   9.3  12.1 999.0 99.0 99.00
2022 01 03 21 30 999 99.0 99.0  0.76 15.38  6.33 225 9999.0   9.6  12.1 999.0 99.0 99.00
2022 01 03 22 00 999 99.0 99.0  0.80 15.38  6.16 232 9999.0  10.0  12.2 999.0 99.0 99.00
2022 01 03 22 30 999 99.0 99.0  0.78 15.38  5.04 229 9999.0  10.3  12.2 999.0 99.0 99.00
2022 01 03 23 00 999 99.0 99.0  1.01 15.38  5.59 222 9999.0 999.0  12.1 999.0 99.0 99.00
2022 01 03 23 30 999 99.0 99.0  1.07 15.38  5.10 225 9999.0 999.0  12.1 999.0 99.0 99.00
2022 01 04 00 00 999 99.0 99.0  1.13 14.29  4.81 228 9999.0  11.9  12.2 999.0 99.0 99.00
2022 01 04 00 30 999 99.0 99.0  1.25 15.38  4.91 219 9999.0  11.8  12.2 999.0 99.0 99.00
2022 01 04 01 00 999 99.0 99.0  1.35 15.38  4.90 226 9999.0  11.9  12.2 999.0 99.0 99.00
2022 01 04 01 30 999 99.0 99.0  1.32 14.29  4.95 220 9999.0  12.1  12.2 999.0 99.0 99.00
2022 01 04 02 00 999 99.0 99.0  1.30 15.38  4.83 224 9999.0  12.1  12.2 999.0 99.0 99.00
2022 01 04 02 30 999 99.0 99.0  1.26 14.29  4.71 218 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 04 03 00 999 99.0 99.0  1.35 14.29  5.19 223 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 04 03 30 999 99.0 99.0  1.32 14.29  5.05 227 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 04 04 00 999 99.0 99.0  1.38 15.38  5.11 219 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 04 04 30 999 99.0 99.0  1.44 15.38  5.48 225 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 04 05 00 999 99.0 99.0  1.55 14.29  5.60 225 9999.0  11.7  12.2 999.0 99.0 99.00
2022 01 04 05 30 999 99.0 99.0  1.56 15.38  5.50 222 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 04 06 00 999 99.0 99.0  1.61 15.38  5.84 230 9999.0  12.0  12.3 999.0 99.0 99.00
2022 01 04 06 30 999 99.0 99.0  1.54 14.29  5.79 226 9999.0  12.2  12.2 999.0 99.0 99.00
2022 01 04 07 00 999 99.0 99.0  1.65 14.29  6.07 230 9999.0  12.3  12.2 999.0 99.0 99.00
2022 01 04 07 30 999 99.0 99.0  1.58 15.38  6.12 227 9999.0  11.7  12.2 999.0 99.0 99.00
2022 01 04 08 00 999 99.0 99.0  1.70 14.29  6.55 232 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 04 08 30 999 99.0 99.0  1.62 13.33  7.06 237 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 04 09 00 999 99.0 99.0  1.73 13.33  7.30 234 9999.0  11.0  12.2 999.0 99.0 99.00
2022 01 04 09 30 999 99.0 99.0  1.91 14.29  8.11 237 9999.0  10.8  12.2 999.0 99.0 99.00
2022 01 04 10 00 999 99.0 99.0  1.67 14.29  7.69 236 9999.0  10.5  12.0 999.0 99.0 99.00
2022 01 04 10 30 999 99.0 99.0  1.63 14.29  7.72 237 9999.0   9.8  12.0 999.0 99.0 99.00
2022 01 04 11 00 999 99.0 99.0  1.67 15.38  7.75 228 9999.0  10.0  12.0 999.0 99.0 99.00
2022 01 04 11 30 999 99.0 99.0  1.81 14.29  8.28 237 9999.0  10.3  12.0 999.0 99.0 99.00
2022 01 04 12 00 999 99.0 99.0  1.79 14.29  8.96 236 9999.0  10.4  12.0 999.0 99.0 99.00
2022 01 04 12 30 999 99.0 99.0  1.81 13.33  9.01 237 9999.0  10.4  11.8 999.0 99.0 99.00
2022 01 04 13 00 999 99.0 99.0  2.13 15.38 10.29 236 9999.0  10.1  11.9 999.0 99.0 99.00
2022 01 04 13 30 999 99.0 99.0  2.54 16.67 11.19 236 9999.0   9.8  11.9 999.0 99.0 99.00
2022 01 04 14 00 999 99.0 99.0  2.31 15.38 10.69 239 9999.0   9.8  11.9 999.0 99.0 99.00
2022 01 04 14 30 999 99.0 99.0  2.46 15.38 10.96 235 9999.0  10.0  11.9 999.0 99.0 99.00
2022 01 04 15 00 999 99.0 99.0  2.50 16.67 11.19 241 9999.0   9.9  11.9 999.0 99.0 99.00
2022 01 04 15 30 999 99.0 99.0  2.41 15.38 10.98 243 9999.0  10.2  11.9 999.0 99.0 99.00
2022 01 04 16 00 999 99.0 99.0  2.71 15.38 11.58 240 9999.0  10.4  11.9 999.0 99.0 99.00
2022 01 04 16 30 999 99.0 99.0  2.82 15.38 11.94 237 9999.0  10.4  12.0 999.0 99.0 99.00
2022 01 04 17 00 999 99.0 99.0  2.48 16.67 11.62 240 9999.0  10.1  12.1 999.0 99.0 99.00
2022 01 04 17 30 999 99.0 99.0  2.52 16.67 11.46 238 9999.0   9.6  12.2 999.0 99.0 99.00
2022 01 04 18 00 999 99.0 99.0  2.44 15.38 10.93 238 9999.0 999.0  12.2 999.0 99.0 99.00
2022 01 04 18 30 999 99.0 99.0  2.62 15.38 11.36 239 9999.0  10.1  12.3 999.0 99.0 99.00
2022 01 04 19 00 999 99.0 99.0  2.65 15.38 11.27 237 9999.0  10.3  12.3 999.0 99.0 99.00
2022 01 04 19 30 999 99.0 99.0  2.50 16.67 11.25 238 9999.0  10.0  12.3 999.0 99.0 99.00
2022 01 04 20 00 999 99.0 99.0  2.71 15.38 11.71 236 9999.0  10.2  12.3 999.0 99.0 99.00
2022 01 04 20 30 999 99.0 99.0  2.58 15.38 11.55 236 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 04 21 00 999 99.0 99.0  2.51 15.38 11.50 238 9999.0  11.1  12.4 999.0 99.0 99.00
2022 01 04 21 30 999 99.0 99.0  2.48 16.67 11.31 235 9999.0  11.3  12.4 999.0 99.0 99.00
2022 01 04 22 00 999 99.0 99.0  2.63 15.38 11.85 236 9999.0  11.2  12.4 999.0 99.0 99.00
2022 01 04 22 30 999 99.0 99.0  2.53 15.38 11.58 241 9999.0  11.5  12.5 999.0 99.0 99.00
2022 01 04 23 00 999 99.0 99.0  2.40 15.38 11.29 236 9999.0  12.1  12.5 999.0 99.0 99.00
2022 01 04 23 30 999 99.0 99.0  2.47 13.33 11.19 235 9999.0  12.3  12.7 999.0 99.0 99.00
2022 01 05 00 00 999 99.0 99.0  2.05 15.38 10.30 235 9999.0  11.4  12.4 999.0 99.0 99.00
2022 01 05 00 30 999 99.0 99.0  1.98 15.38  9.92 230 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 05 01 00 999 99.0 99.0  2.03 15.38  9.53 229 9999.0  11.7  12.3 999.0 99.0 99.00
2022 01 05 01 30 999 99.0 99.0  1.92 13.33  9.53 238 9999.0  11.5  12.3 999.0 99.0 99.00
2022 01 05 02 00 999 99.0 99.0  1.81 14.29  8.85 237 9999.0  11.5  12.3 999.0 99.0 99.00
2022 01 05 02 30 999 99.0 99.0  1.75 12.50  8.68 238 9999.0  11.3  12.3 999.0 99.0 99.00
2022 01 05 03 00 999 99.0 99.0  1.71 13.33  8.87 237 9999.0  11.1  12.3 999.0 99.0 99.00
2022 01 05 03 30 999 99.0 99.0  1.72 14.29  8.80 230 9999.0  10.9  12.3 999.0 99.0 99.00
2022 01 05 04 00 999 99.0 99.0  1.68 15.38  8.69 235 9999.0  10.6  12.3 999.0 99.0 99.00
2022 01 05 04 30 999 99.0 99.0  1.65 15.38  8.92 228 9999.0  10.9  12.3 999.0 99.0 99.00
2022 01 05 05 00 999 99.0 99.0  1.76 12.50  9.19 236 9999.0  10.2  12.2 999.0 99.0 99.00
2022 01 05 05 30 999 99.0 99.0  1.67 14.29  9.14 235 9999.0  10.0  12.2 999.0 99.0 99.00
2022 01 05 06 00 999 99.0 99.0  1.78 14.29  9.76 233 9999.0  10.2  12.1 999.0 99.0 99.00
2022 01 05 06 30 999 99.0 99.0  1.83 15.38 10.18 233 9999.0  10.4  12.1 999.0 99.0 99.00
2022 01 05 07 00 999 99.0 99.0  1.58 15.38  9.31 243 9999.0  10.4  12.1 999.0 99.0 99.00
2022 01 05 07 30 999 99.0 99.0  1.75 15.38 10.10 235 9999.0  10.5  12.1 999.0 99.0 99.00
