Date,Index
1930-6-16,20.559999
1930-6-17,20.58
1930-6-18,19.860001
1930-6-19,20.790001
1930-6-20,20.25
1930-6-23,20.09
1930-6-24,19.389999
1930-6-25,19.540001
1930-6-26,19.540001
1930-6-27,19.809999
1930-6-30,20.459999
1930-7-1,20.24
1930-7-2,20.459999
1930-7-3,20.25
1930-7-7,19.83
1930-7-8,19.969999
1930-7-9,20.26
1930-7-10,20.77
1930-7-11,20.549999
1930-7-14,21.360001
1930-7-15,21.32
1930-7-16,21.48
1930-7-17,21.58
1930-7-18,21.77
1930-7-21,20.940001
1930-7-22,21.32
1930-7-23,21.66
1930-7-24,21.379999
1930-7-25,21.5
1930-7-28,21.82
1930-7-29,21.65
1930-7-30,21.08
1930-7-31,21.209999
1930-8-1,21.110001
1930-8-4,21.52
1930-8-5,21.52
1930-8-6,21.18
1930-8-7,21.059999
1930-8-8,20.27
1930-8-11,20.4
1930-8-12,19.879999
1930-8-13,20.15
1930-8-14,20.16
1930-8-15,20.700001
1930-8-18,20.540001
1930-8-19,20.74
1930-8-20,20.85
1930-8-21,20.639999
1930-8-22,20.790001
1930-8-25,20.68
1930-8-26,20.98
1930-8-27,21.139999
1930-8-28,21.129999
1930-8-29,21.370001
1930-9-2,21.379999
1930-9-3,21.17
1930-9-4,21.02
1930-9-5,21.34
1930-9-8,21.629999
1930-9-9,21.76
1930-9-10,21.860001
1930-9-11,21.719999
1930-9-12,21.5
1930-9-15,21.190001
1930-9-16,21.219999
1930-9-17,21.290001
1930-9-18,21.059999
1930-9-19,20.68
1930-9-22,20.17
1930-9-23,20.440001
1930-9-24,20.110001
1930-9-25,19.73
1930-9-26,19.43
1930-9-29,18.879999
1930-9-30,18.59
1930-10-1,19.42
1930-10-2,19.18
1930-10-3,19.42
1930-10-6,18.610001
1930-10-7,18.620001
1930-10-8,18.4
1930-10-9,17.67
1930-10-10,18.110001
1930-10-14,17.91
1930-10-15,18.200001
1930-10-16,17.879999
1930-10-17,17.16
1930-10-20,17.57
1930-10-21,17.049999
1930-10-22,16.9
1930-10-23,17.139999
1930-10-24,17.74
1930-10-27,17.780001
1930-10-28,17.860001
1930-10-29,17.549999
1930-10-30,17.34
1930-10-31,16.940001
1930-11-3,17.129999
1930-11-5,16.620001
1930-11-6,16.65
1930-11-7,16.09
1930-11-10,15.54
1930-11-11,15.79
1930-11-12,16.139999
1930-11-13,16.559999
1930-11-14,16.889999
1930-11-17,16.48
1930-11-18,16.66
1930-11-19,17.01
1930-11-20,16.940001
1930-11-21,17.200001
1930-11-24,17.049999
1930-11-25,16.85
1930-11-26,16.610001
1930-11-28,16.379999
1930-12-1,16.799999
1930-12-2,16.959999
1930-12-3,16.67
1930-12-4,16.42
1930-12-5,16.43
1930-12-8,15.97
1930-12-9,15.98
1930-12-10,15.73
1930-12-11,15.55
1930-12-12,15.43
1930-12-15,14.94
1930-12-16,14.44
1930-12-17,15.11
1930-12-18,15.22
1930-12-19,15.39
1930-12-22,14.88
1930-12-23,14.96
1930-12-24,15.16
1930-12-26,14.85
1930-12-29,14.72
1930-12-30,15.06
1930-12-31,15.34
1931-1-2,15.85
1931-1-5,15.93
1931-1-6,16.129999
1931-1-7,15.09
1931-1-8,16.23
1931-1-9,16.07
1931-1-12,15.84
1931-1-13,15.65
1931-1-14,15.83
1931-1-15,15.46
1931-1-16,15.65
1931-1-19,15.46
1931-1-20,15.78
1931-1-21,15.78
1931-1-22,16.07
1931-1-23,16.42
1931-1-26,16.4
1931-1-27,16.32
1931-1-28,16.02
1931-1-29,16.17
1931-1-30,16.190001
1931-2-2,16.16
1931-2-3,16.24
1931-2-4,16.33
1931-2-5,16.219999
1931-2-6,16.27
1931-2-9,16.959999
1931-2-10,17.23
1931-2-11,17.280001
1931-2-13,17.18
1931-2-16,17.34
1931-2-17,17.049999
1931-2-18,17.200001
1931-2-19,17.43
1931-2-20,17.709999
1931-2-24,18.17
1931-2-25,17.969999
1931-2-26,18.17
1931-2-27,18.030001
1931-3-2,17.52
1931-3-3,17.5
1931-3-4,17.34
1931-3-5,17.690001
1931-3-6,17.32
1931-3-9,17.76
1931-3-10,17.719999
1931-3-11,17.52
1931-3-12,17.4
1931-3-13,17.32
1931-3-16,17.77
1931-3-17,17.58
1931-3-18,17.809999
1931-3-19,18.01
1931-3-20,18.059999
1931-3-23,17.76
1931-3-24,17.879999
1931-3-25,17.780001
1931-3-26,17.540001
1931-3-27,17.209999
1931-3-30,16.66
1931-3-31,16.690001
1931-4-1,16.52
1931-4-2,16.450001
1931-4-6,16.5
1931-4-7,16.280001
1931-4-8,16.5
1931-4-9,16.41
1931-4-10,16.459999
1931-4-13,16.719999
1931-4-14,16.51
1931-4-15,16.18
1931-4-16,15.98
1931-4-17,15.73
1931-4-20,15.96
1931-4-21,15.54
1931-4-22,15.22
1931-4-23,15.29
1931-4-24,15.29
1931-4-27,14.76
1931-4-28,14.67
1931-4-29,14.37
1931-4-30,15.09
1931-5-1,14.65
1931-5-4,15.06
1931-5-5,14.94
1931-5-6,15.01
1931-5-7,14.95
1931-5-8,15.44
1931-5-11,15.19
1931-5-12,15.04
1931-5-13,14.99
1931-5-14,14.66
1931-5-15,14.44
1931-5-18,13.84
1931-5-19,13.83
1931-5-20,13.75
1931-5-21,13.89
1931-5-22,13.94
1931-5-25,13.4
1931-5-26,13.41
1931-5-27,13.26
1931-5-28,13.31
1931-5-29,13.02
1931-6-1,12.4
1931-6-2,12.2
1931-6-3,13.12
1931-6-4,13.55
1931-6-5,13.4
1931-6-8,13.56
1931-6-9,13.34
1931-6-10,13.7
1931-6-11,13.73
1931-6-12,13.75
1931-6-15,13.63
1931-6-16,13.66
1931-6-17,13.51
1931-6-18,13.27
1931-6-19,13.22
1931-6-22,14.61
1931-6-23,14.41
1931-6-24,15.09
1931-6-25,14.99
1931-6-26,15.35
1931-6-29,15.09
1931-6-30,14.83
1931-7-1,15.07
1931-7-2,14.94
1931-7-3,15.26
1931-7-6,15.1
1931-7-7,14.51
1931-7-8,14.37
1931-7-9,14.49
1931-7-10,14.63
1931-7-13,14.23
1931-7-14,14.09
1931-7-15,13.8
1931-7-16,14.14
1931-7-17,14.27
1931-7-20,14.46
1931-7-21,14.62
1931-7-22,14.28
1931-7-23,14.28
1931-7-24,13.97
1931-7-27,14.03
1931-7-28,14.18
1931-7-29,13.74
1931-7-30,13.8
1931-7-31,13.73
1931-8-3,13.93
1931-8-4,13.84
1931-8-5,13.64
1931-8-6,13.55
1931-8-7,13.61
1931-8-10,13.55
1931-8-11,13.99
1931-8-12,13.8
1931-8-13,14.02
1931-8-14,14.29
1931-8-17,14.05
1931-8-18,14.1
1931-8-19,14.14
1931-8-20,14.17
