Decimal_Year,Index
2015.2794520547945,2092.43
2015.282191780822,2095.84
2015.2849315068493,2106.63
2015.2876712328766,2104.99
2015.2904109589042,2081.18
2015.2986301369863,2100.4
2015.3013698630136,2097.29
2015.304109589041,2107.96
2015.3068493150686,2112.93
2015.309589041096,2117.69
2015.317808219178,2108.92
2015.3205479452056,2114.76
2015.323287671233,2106.85
2015.3260273972603,2085.51
2015.3287671232877,2108.29
2015.33698630137,2114.49
2015.3397260273973,2089.46
2015.3424657534247,2080.15
2015.345205479452,2088.0
2015.3479452054794,2116.1
2015.3561643835617,2105.33
2015.358904109589,2099.12
2015.3616438356164,2098.48
2015.3643835616438,2121.1
2015.3671232876711,2122.73
2015.3753424657534,2129.2
2015.3780821917808,2127.83
2015.3808219178081,2125.85
2015.3835616438357,2130.82
2015.386301369863,2126.06
2015.3972602739725,2104.2
2015.4,2123.48
2015.4027397260274,2120.79
2015.4054794520548,2107.39
2015.4136986301369,2111.73
2015.4164383561645,2109.6
2015.4191780821918,2114.07
2015.4219178082192,2095.84
2015.4246575342465,2092.83
2015.4328767123288,2079.28
2015.4356164383562,2080.15
2015.4383561643835,2105.2
2015.441095890411,2108.86
2015.4438356164383,2094.11
2015.4520547945206,2084.43
2015.454794520548,2096.29
2015.4575342465753,2100.44
2015.4602739726026,2121.24
2015.4630136986302,2109.99
2015.4712328767123,2122.85
2015.4739726027397,2124.2
2015.4767123287672,2108.58
2015.4794520547946,2102.31
2015.482191780822,2101.49
2015.490410958904,2057.64
2015.4931506849316,2063.11
2015.495890410959,2077.42
2015.4986301369863,2076.78
2015.509589041096,2068.76
2015.5123287671233,2081.34
2015.5150684931507,2046.68
2015.517808219178,2051.31
2015.5205479452054,2076.62
2015.5287671232877,2099.6
2015.531506849315,2108.95
2015.5342465753424,2107.4
2015.5369863013698,2124.29
2015.5397260273974,2126.64
2015.5479452054794,2128.28
2015.5506849315068,2119.21
2015.5534246575342,2114.15
2015.5561643835617,2102.15
2015.558904109589,2079.65
2015.5671232876712,2067.64
2015.5698630136985,2093.25
2015.572602739726,2108.57
2015.5753424657535,2108.63
2015.5780821917808,2103.84
2015.5863013698631,2098.04
2015.5890410958905,2093.32
2015.5917808219178,2099.84
2015.5945205479452,2083.56
2015.5972602739726,2077.57
2015.6054794520549,2104.18
2015.6082191780822,2084.07
2015.6109589041096,2086.05
2015.613698630137,2083.39
2015.6164383561643,2091.54
2015.6246575342466,2102.44
2015.627397260274,2096.92
2015.6301369863013,2079.61
2015.6328767123289,2035.73
2015.6356164383562,1970.89
2015.6438356164383,1893.21
2015.6465753424657,1867.61
2015.6493150684933,1940.51
2015.6520547945206,1987.66
2015.654794520548,1988.87
2015.66301369863,1972.18
2015.6657534246576,1913.85
2015.668493150685,1948.86
2015.6712328767123,1951.13
2015.6739726027397,1921.22
2015.6849315068494,1969.41
